regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,0,0,sim_study2_near_sub21,280,0.0,1998.263442429364
lazy_50,0,0,sim_study1_near_sub57,339,58.062716106649376,555.3038474149619
lazy_50,0,0,sim_study1_near_sub43,331,56.40001983325381,1324.215149152204
lazy_50,0,0,sim_study1_near_sub8,140,2.1466323268580383,2722.647668587233
lazy_50,0,0,sim_study1_near_sub9,137,288.4474235587212,1880.1177995297717
lazy_50,0,0,sim_study1_near_sub56,353,225.18684926210295,1357.010368326135
lazy_50,0,0,sim_study2_near_sub20,164,113.5692682937972,2830.1623764522765
lazy_50,0,0,sim_study2_near_sub30,189,0.0,2313.476557987543
lazy_50,0,0,sim_study1_near_sub52,221,409.9138015597921,548.9560088611162
lazy_50,0,0,sim_study2_near_sub8,256,601.9290960526077,1827.5917612778862
lazy_50,0,0,sim_study2_near_sub9,435,534.917625703953,750.1702871768794
lazy_50,0,0,sim_study1_near_sub47,268,433.2977031172043,584.1721638910597
lazy_50,0,0,sim_study1_near_sub53,302,166.22037731461938,2286.0742003775085
lazy_50,0,0,sim_study2_near_sub19,113,1696.8364150761026,4498.971134714019
lazy_50,0,0,sim_study2_near_sub31,152,0.0,2301.0252439203105
lazy_50,0,0,sim_study2_near_sub27,229,1346.4555907778213,1338.2371516887456
lazy_50,0,0,sim_study2_near_sub33,375,590.1649503558419,956.998895560167
lazy_50,0,0,sim_study1_near_sub45,119,800.8564405147564,716.0255031652174
lazy_50,0,0,sim_study1_near_sub50,126,118.3149334764671,1549.2726847566582
lazy_50,0,0,sim_study2_near_sub32,321,468.3710441544795,1989.3422046815335
lazy_50,0,0,sim_study2_near_sub26,525,423.2407470082843,1197.4117144532092
lazy_50,0,0,sim_study2_near_sub17,157,122.06007891452137,3263.6760586468304
lazy_50,0,0,sim_study1_near_sub49,226,259.8292535294752,1834.9112498873028
lazy_50,0,0,sim_study1_near_sub2,148,750.070599157352,2607.678442614412
lazy_50,0,0,sim_study2_near_sub7,895,205.14656039410187,810.7389104813609
lazy_50,0,0,sim_study2_near_sub6,162,3.3261999634879724,2061.457645515886
lazy_50,0,0,sim_study1_near_sub74,181,286.0654607191116,2325.110806675138
lazy_50,0,0,sim_study2_near_sub16,215,166.91332411605285,3050.082332971505
lazy_50,0,0,sim_study2_near_sub28,364,378.4233178089123,755.0970842108047
lazy_50,0,0,sim_study2_near_sub14,119,1405.5466391256055,2370.203913422595
lazy_50,0,0,sim_study1_near_sub1,131,776.1731896984033,4343.822174246664
lazy_50,0,0,sim_study2_near_sub4,136,0.0,3887.32319594232
lazy_50,0,0,sim_study1_near_sub63,429,391.4177804228427,1035.5476278606816
lazy_50,0,0,sim_study2_near_sub15,243,300.4557038242917,2369.5744006251125
lazy_50,0,0,sim_study2_near_sub11,159,1101.4145841212362,2381.6634547056833
lazy_50,0,0,sim_study2_near_sub39,190,960.4583538009069,1309.4692995231494
